;datatrimestre;valorPix;valorTED;valorTEC;valorCheque;valorBoleto;valorDOC;valorCartaoCredito;valorCartaoDebito;valorCartaoPrePago;valorTransIntrabancaria;valorConvenios;valorDebitoDireto;valorSaques;quantidadePix;quantidadeTED;quantidadeTEC;quantidadeCheque;quantidadeBoleto;quantidadeDOC;quantidadeCartaoCredito;quantidadeCartaoDebito;quantidadeCartaoPrePago;quantidadeTransIntrabancaria;quantidadeConvenios;quantidadeDebitoDireto;quantidadeSaques
0;2024-12-31;7714115370000,0;11647265670000,0;0,0;187486450000,0;2529891480000,0;0,0;728621990000,0;259929790000,0;85637900000,0;6994562610000,0;1058938030000,0;714936650000,0;530634010000,0;17960843000,0;211018000,0;0,0;41511000,0;1459139000,0;0,0;5351538000,0;4282401000,0;3339927000,0;492223000,0;633961000,0;3795100000,0;658974000,0
1;2024-09-30;6975429470000,0;11180217680000,0;0,0;194330600000,0;2444696190000,0;0,0;663288440000,0;241932980000,0;78531940000,0;6721473220000,0;961319370000,0;632328790000,0;526867510000,0;16546427000,0;203394000,0;0,0;44244000,0;1466699000,0;0,0;5042306000,0;4121806000,0;3132433000,0;426403000,0;661718000,0;3832574000,0;664226000,0
2;2024-06-30;6284296050000,0;10662555730000,0;0,0;221553820000,0;2360557980000,0;0,0;631811520000,0;239101560000,0;77389010000,0;6186222950000,0;984002130000,0;589043560000,0;591985250000,0;15356891000,0;203270000,0;0,0;44982000,0;1439119000,0;0,0;4879707000,0;4057959000,0;3046234000,0;328564000,0;679418000,0;3320590000,0;698604000,0
3;2024-03-31;5429305430000,0;9651625560000,0;925260000,0;190457250000,0;2248972680000,0;650800000,0;607470960000,0;235111600000,0;73035610000,0;5395011980000,0;1082621220000,0;573074520000,0;522222340000,0;13575456000,0;203714000,0;447000,0;46469000,0;1422731000,0;663000,0;4723438000,0;3952365000,0;2774237000,0;277322000,0;726670000,0;3238699000,0;683043000,0
4;2023-12-31;5300155000000,0;10090921810000,0;5787890000,0;221424780000,0;2317765950000,0;4684980000,0;630191340000,0;259057920000,0;79592400000,0;5620780950000,0;992622230000,0;713965370000,0;644732040000,0;13045670000,0;226471000,0;2572000,0;52101000,0;1452479000,0;4665000,0;4813848000,0;4238653000,0;2974411000,0;376316000,0;669806000,0;3102558000,0;752441000,0
5;2023-09-30;4469529570000,0;9960251890000,0;4156380000,0;218121880000,0;2296883560000,0;10131890000,0;581902420000,0;240827840000,0;69553220000,0;5432699280000,0;917545310000,0;700423250000,0;622697480000,0;11116948000,0;217718000,0;1765000,0;54410000,0;1487095000,0;12614000,0;4583772000,0;4014361000,0;2677827000,0;318651000,0;705508000,0;2790820000,0;758692000,0
6;2023-06-30;3900377430000,0;10657463130000,0;4770740000,0;228408820000,0;2249059730000,0;11258230000,0;561910940000,0;238172210000,0;63923280000,0;5394381920000,0;928969870000,0;657036350000,0;638613020000,0;9396579000,0;218819000,0;1993000,0;56339000,0;1494218000,0;10328000,0;4434832000,0;3929786000,0;2426619000,0;278675000,0;734712000,0;2556237000,0;778454000,0
7;2023-03-31;3447198280000,0;9919602840000,0;4535170000,0;240686190000,0;2211523050000,0;7467110000,0;535520440000,0;237175130000,0;61169030000,0;5753391900000,0;965364730000,0;638326600000,0;558407690000,0;8116396000,0;228744000,0;1958000,0;57831000,0;1510818000,0;7531000,0;4189059000,0;3835192000,0;2237801000,0;259519000,0;764476000,0;2437254000,0;662875000,0
8;2022-12-31;3342913940000,0;10382121630000,0;5609530000,0;242259610000,0;2259674590000,0;9584630000,0;560765410000,0;264120640000,0;66081980000,0;5511068320000,0;932362550000,0;688371700000,0;625411600000,0;7807166000,0;254290000,0;2532000,0;62606000,0;1522484000,0;9872000,0;4334758000,0;4115443000,0;2303424000,0;289650000,0;735106000,0;1935349000,0;742553000,0
9;2022-09-30;2936413950000,0;10437763160000,0;3735460000,0;267090220000,0;2248416630000,0;17106460000,0;521942270000,0;243632860000,0;55695330000,0;5503514220000,0;897632110000,0;732381580000,0;607773390000,0;6528602000,0;256680000,0;1678000,0;68143000,0;1538367000,0;18047000,0;4151714000,0;3831079000,0;1993807000,0;274848000,0;766676000,0;1965308000,0;725040000,0
10;2022-06-30;2543384400000,0;10449574670000,0;4786140000,0;271008090000,0;2210099220000,0;17081530000,0;501514740000,0;245563750000,0;50925720000,0;5242642700000,0;899962060000,0;669017770000,0;708789710000,0;5447448000,0;254588000,0;2112000,0;70141000,0;1517093000,0;17905000,0;3974127000,0;3778540000,0;1750866000,0;269502000,0;773505000,0;2017609000,0;876660000,0
11;2022-03-31;2067826550000,0;9507158340000,0;3865810000,0;255455430000,0;2032317140000,0;11976360000,0;453292410000,0;230186870000,0;43541910000,0;4789393750000,0;929229580000,0;689839500000,0;642753790000,0;4250024000,0;256894000,0;1795000,0;71479000,0;1490934000,0;13195000,0;3679416000,0;3589968000,0;1507246000,0;278556000,0;786601000,0;2049567000,0;838691000,0
12;2021-12-31;1916418680000,0;9807293110000,0;5436190000,0;264298160000,0;2072053930000,0;14166990000,0;467911250000,0;257458300000,0;42420500000,0;4526131580000,0;900546370000,0;603616190000,0;705117240000,0;3836286000,0;294064000,0;2679000,0;77753000,0;1497705000,0;16717000,0;3741214000,0;3849208000,0;1430827000,0;226318000,0;755053000,0;1809992000,0;919580000,0
13;2021-09-30;1556916220000,0;9257046280000,0;3684130000,0;271120340000,0;2001074000000,0;22306750000,0;399054110000,0;233970030000,0;33731830000,0;4380184500000,0;808629480000,0;586001770000,0;673720990000,0;2863337000,0;296200000,0;1790000,0;80111000,0;1493638000,0;27668000,0;3311505000,0;3526063000,0;1603853000,0;244008000,0;774411000,0;1765465000,0;918142000,0
14;2021-06-30;1105735200000,0;8566787270000,0;3894810000,0;264944310000,0;1839452360000,0;23158840000,0;344999680000,0;214381060000,0;26760540000,0;4171595710000,0;710453340000,0;604018430000,0;685333150000,0;1871564000,0;333918000,0;1879000,0;75418000,0;1431427000,0;28659000,0;2841993000,0;3141691000,0;1264917000,0;260757000,0;733937000,0;1709010000,0;924450000,0
15;2021-03-31;625046520000,0;7894414160000,0;4352440000,0;253527920000,0;1769759680000,0;21777700000,0;310412130000,0;204752910000,0;20327690000,0;3965203170000,0;728627480000,0;497283040000,0;673126600000,0;862338000,0;354171000,0;2181000,0;79410000,0;1386081000,0;31687000,0;2584404000,0;3005005000,0;1016901000,0;274420000,0;766142000,0;1704254000,0;926234000,0
16;2020-12-31;149894910000,0;8036705320000,0;5137420000,0;278295370000,0;1919100600000,0;38705140000,0;332987170000,0;258471490000,0;19923510000,0;4095052120000,0;719279590000,0;456624590000,0;765824470000,0;176207000,0;574880000,0;2550000,0;91595000,0;1472869000,0;58634000,0;2672666000,0;3483509000,0;1056947000,0;348828000,0;750243000,0;1700532000,0;1084574000,0
17;2020-09-30;0,0;7503982240000,0;4159600000,0;259334880000,0;1959819720000,0;52156840000,0;279176980000,0;228771890000,0;14809510000,0;3864293290000,0;620034560000,0;415448620000,0;723099800000,0;0,0;541158000,0;2024000,0;86966000,0;1389216000,0;74378000,0;2280096000,0;2957016000,0;795302000,0;338018000,0;776086000,0;1623252000,0;1009738000,0
18;2020-06-30;0,0;6267004160000,0;4647320000,0;237873120000,0;1366623210000,0;50881150000,0;224389540000,0;152246790000,0;8969460000,0;3619039330000,0;480987360000,0;440102050000,0;663932320000,0;0,0;381387000,0;2267000,0;85355000,0;1256812000,0;73764000,0;1907929000,0;2259584000,0;533546000,0;303063000,0;752351000,0;1542581000,0;934645000,0
19;2020-03-31;0,0;6652135130000,0;4829560000,0;318844920000,0;1526486760000,0;30628550000,0;275659090000,0;171399490000,0;8700250000,0;4138724780000,0;700965210000,0;481940350000,0;719800780000,0;0,0;329386000,0;2416000,0;115238000,0;1184511000,0;43504000,0;2492783000,0;2757914000,0;577501000,0;293997000,0;860764000,0;1522645000,0;1034925000,0
20;2019-12-31;0,0;6560042730000,0;6343770000,0;372693660000,0;1579497090000,0;37728790000,0;302888190000,0;193673010000,0;8940680000,0;3774510810000,0;709453520000,0;1179392450000,0;866834600000,0;0,0;324350000,0;3185000,0;134726000,0;1190398000,0;51757000,0;2681083000,0;3102433000,0;159510000,0;365516000,0;786763000,0;1459194000,0;1237366000,0
21;2019-09-30;0,0;6285701440000,0;5469660000,0;385735210000,0;1484836270000,0;39652790000,0;272414670000,0;164735630000,0;7803220000,0;3378209530000,0;713191480000,0;1172377680000,0;825956860000,0;0,0;276656000,0;2751000,0;138323000,0;1155113000,0;53388000,0;2516328000,0;2749306000,0;109324000,0;347496000,0;864139000,0;1514405000,0;1150224000,0
22;2019-06-30;0,0;5700739790000,0;5506270000,0;388525470000,0;1409618750000,0;34716550000,0;253161380000,0;153747190000,0;6572850000,0;3090737620000,0;677754240000,0;1009756110000,0;810157400000,0;0,0;232644000,0;2848000,0;138159000,0;1076813000,0;47739000,0;2324477000,0;2524775000,0;77904000,0;331095000,0;811803000,0;1418749000,0;1114643000,0
23;2019-03-31;0,0;5039380730000,0;4794820000,0;375916280000,0;1468066320000,0;35812800000,0;235435490000,0;151764670000,0;5019160000,0;2977140950000,0;922161770000,0;1096747510000,0;807704630000,0;0,0;199727000,0;2588000,0;139621000,0;1020584000,0;52450000,0;2081349000,0;2471245000,0;58848000,0;307650000,0;913784000,0;1381467000,0;1103906000,0
